stock__ticker,stock__share_type__company__name,stock__share_type__company__industry__industry_group__sector__name,stock__share_type__company__country__code,date,quality,growth,value,dividend,market_cap_usd,enterprise_value_usd,volume,profit_1m,profit_3m,profit_6m,profit_1y,profit_2y,profit_5y
3047:TWSE,"EDIMAX Technology Co., Ltd.",Information Technology,TW,2022-12-01,58.51888890662773,0.0,22.848636470588236,,110997232.95566179,179127595.12738228,17513270.0,0.23140272929567318,-0.02216895803022405,0.48327785481808816,0.46162226474296664,0.08954456788639448,0.7950289491168934
3047:TWSE,"EDIMAX Technology Co., Ltd.",Information Technology,TW,2022-09-01,58.55046781519584,0.0,12.42457294117647,,113470553.74252328,191448287.74618855,18659300.0,0.34530052088110685,0.5169060820876816,0.2701537246453898,0.6549749768879221,0.30612563563162765,0.7592653557628081
ACRL:OTCPK,"Atacama Resources International, Inc.",Materials,US,2024-08-01,14.201387229886247,,,,3492005.0,3814774.0,1044581.0,-0.4545454545454545,-0.53125,-0.3877551020408163,-0.423076923076923,-0.620253164556962,-0.7617156473391581
ACRL:OTCPK,"Atacama Resources International, Inc.",Materials,US,2023-06-01,31.582796868297855,,,,7099216.0,7125515.0,147000.0,-0.12328767123287668,-0.08571428571428569,0.37634408602150554,-0.1409395973154362,-0.7168141592920354,11.8
ACRL:OTCPK,"Atacama Resources International, Inc.",Materials,US,2023-03-01,31.010585108675194,,34.40994333333333,,7495267.0,7562957.0,624350.0,0.5555555555555557,0.5053763440860216,-0.2904206791687785,-0.292929292929293,-0.7734627831715211,6.777777777777779
ACRL:OTCPK,"Atacama Resources International, Inc.",Materials,US,2022-12-01,31.06553847471984,,54.62659333333333,,4862749.0,4930438.0,86650.0,-0.19130434782608702,-0.5286365940192601,-0.3758389261744967,-0.628,-0.2250000000000001,1.4345549738219892
ACRL:OTCPK,"Atacama Resources International, Inc.",Materials,US,2022-09-01,30.90007414718101,,24.987206666666665,,9823098.0,9890787.0,28000.0,0.2487341772151898,0.3241610738255034,-0.0035353535353535664,-0.6093069306930693,0.370138888888889,-0.11919642857142852
002579:SZSE,Huizhou CEE Technology Inc.,Information Technology,CN,2024-03-01,43.43707585288033,66.70336340707091,58.38235529411765,30.10233846666667,652048368.3946908,928247009.0714306,26562550.0,0.1665217066496975,-0.20370115392615026,-0.1278353088559605,-0.38495934353755745,-0.25381106044933704,-0.17649297381740275
002579:SZSE,Huizhou CEE Technology Inc.,Information Technology,CN,2023-03-01,50.36753617392074,81.66997246959666,22.65911117647059,69.30955,1057823627.3829154,1326021315.918887,25254490.0,-0.08608569385668322,0.13512058098702534,0.3156073704376368,0.20809569497256666,0.0949322159905431,0.632043541664998
002579:SZSE,Huizhou CEE Technology Inc.,Information Technology,CN,2022-09-01,47.36029429355686,81.66997246959666,40.65537058823529,63.37112612500001,799613625.7428613,1086594554.8630235,30432330.0,0.04963099152432467,0.3074243842844949,-0.07975036403166066,-0.1754641313151757,-0.239323159270673,0.09348993589499278
PFI:NZSE,Property For Industry Limited,Real Estate,NZ,2024-11-01,73.27328833196302,7.05820941302887,50.921365714285706,59.964827799999995,657509762.061338,1063603502.1223172,257691.0,-0.05123855305122696,0.0066506443796758115,0.01665804762716662,0.11441193921932033,-0.014939998772262483,0.040468048780510066
PFI:NZSE,Property For Industry Limited,Real Estate,NZ,2024-08-01,71.5018545431774,13.50159312100769,48.108108571428566,47.26822003333334,660040274.7809501,1050478970.0184777,199566.0,0.003207741495486015,0.010005564206094414,-0.04354583923507683,-0.07054413247777432,-0.11616783363544037,0.07805507746032471
PFI:NZSE,Property For Industry Limited,Real Estate,NZ,2024-03-01,71.1644475490202,13.50159312100769,51.65737294117647,46.76467003333334,682436089.8030976,1082494109.420042,152954.0,-0.02088975720642905,-0.002595042300570039,0.011492904773690044,-0.037497539579552014,-0.1993145969276886,0.29655143305454373
PFI:NZSE,Property For Industry Limited,Real Estate,NZ,2023-06-01,80.68524191251521,24.82888363081613,55.68228529411765,42.0544378,714267401.2916212,1086224209.7943091,184921.0,-0.018634506693945667,-0.021928949049808005,-0.03621715523922416,-0.08549383958244589,-0.25353229489135365,0.43657712448661307
PFI:NZSE,Property For Industry Limited,Real Estate,NZ,2023-03-01,80.02805481254498,24.82888363081613,54.33940529411765,41.725337499999995,737098059.3273579,1118504299.9583251,1143311.0,0.006187121276461722,-0.014870609503188562,-0.06585845279193074,-0.16931351255422214,-0.24230520687773077,0.4836696635223981
PFI:NZSE,Property For Industry Limited,Real Estate,NZ,2022-12-01,78.36830076388634,58.90653502743737,76.72992705882353,63.301719600000006,757888682.5039082,1146998879.4634566,764922.0,0.05479605677608058,-0.05187733590786336,-0.05171854831452724,-0.1742362877693467,-0.21293017344416645,0.6372654265839828
PFI:NZSE,Property For Industry Limited,Real Estate,NZ,2022-09-01,78.46844365892507,58.90653502743737,65.50873764705884,62.82981899999999,809514501.8341526,1185029781.483962,86374.0,0.003295081811954404,-0.0002609708482695592,-0.11173998801124241,-0.22841922959906352,-0.0015201272983667285,0.5963651901947026
PFI:NZSE,Property For Industry Limited,Real Estate,NZ,2020-10-01,65.57196878731317,64.5161334568625,12.674040588235293,44.934937,894204356.8051424,1191354271.1432216,771943.0,0.03427081994756293,0.16746931231062961,0.4952945431159064,0.2246421539874151,0.6028901175804429,1.1464436587787736
NWF:AIM,NWF Group plc,Energy,GB,2024-11-01,71.06724351454505,48.5689421251026,64.84308882352941,100.0,96053669.24361913,143060390.03923702,245169.0,-0.06074027429423643,-0.0783574230419315,-0.24490585456025324,-0.10040022398584679,-0.31966499168778634,0.13121701511233966
NWF:AIM,NWF Group plc,Energy,GB,2024-08-01,71.14321851305264,48.5689421251026,62.25464882352941,100.0,109099311.75642832,155536563.8991941,44974.0,-0.017912386690618117,-0.18070826552742814,-0.12919719076926336,-0.316545681553925,-0.13756511336164462,0.31013318774744036
NWF:AIM,NWF Group plc,Energy,GB,2024-03-01,75.26176748316547,52.16490175943518,93.37961588235294,62.81404404444445,112618180.20754239,130714863.32574031,25297.0,-0.1062625736566994,-0.14589264041311434,-0.14768085231882225,-0.2121682615748761,-0.12991930000182839,0.25594771730382504
NWF:AIM,NWF Group plc,Energy,GB,2023-03-01,69.2807943147367,68.8172234450993,79.33372823529412,75.38836041111111,148792489.1549851,184643776.81377643,18576.0,0.08070879884973967,-0.09967616796117958,0.13048761884457075,0.09610120142308581,0.11711487292160158,0.3862882842775138
